cluster1,Additive,Animal Product,Bakery,Berry,Beverage,Beverage Alcoholic,Beverage Caffeinated,Cabbage,Cereal,Dairy,Dish,Essential Oil,Fish,Flower,Fruit,Fruit Citrus,Fruit Essence,Fruit-Berry,Fungus,Gourd,Herb,Legume,Maize,Meat,Nut,Plant,Plant Derivative,Seafood,Seed,Spice,Vegetable,Vegetable Root,Vegetable Stem,Vegetable Tuber
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.0,0.0,40.0,4.0,8.0,0.0,8.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.3205128205128205,10.256410256410255,0.3205128205128205,0.0,0.0,4.807692307692308,5.128205128205128,0.0,0.0,0.9615384615384616,0.0,1.6025641025641024,17.307692307692307,1.6025641025641024,0.3205128205128205,0.3205128205128205,2.564102564102564,1.9230769230769231,12.5,6.089743589743589,0.3205128205128205,0.0,5.448717948717949,10.576923076923077,0.9615384615384616,0.0,0.641025641025641,4.807692307692308,6.089743589743589,1.9230769230769231,0.3205128205128205,2.8846153846153846
5,7.482993197278912,0.3401360544217687,5.442176870748299,0.0,3.061224489795918,5.442176870748299,0.6802721088435374,0.3401360544217687,0.3401360544217687,5.1020408163265305,24.829931972789115,0.3401360544217687,34.35374149659864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3401360544217687,0.3401360544217687,0.6802721088435374,1.0204081632653061,0.0,0.0,2.380952380952381,7.142857142857142,0.0,0.0,0.0,0.0,0.0,0.3401360544217687
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8.695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913043478261,0.0,4.3478260869565215,4.3478260869565215,0.0,0.0,4.3478260869565215,0.0,4.3478260869565215,0.0,0.0,0.0,8.695652173913043,13.043478260869565,0.0,26.08695652173913,4.3478260869565215,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
