cluster1,Cluster: Beverages,Cluster: Bitter Vegetables and Greens,Cluster: Condiments and Sauces,Cluster: Dairy and Alternatives,Cluster: Fermented Foods,Cluster: Grains and Grain Products,Cluster: Herbs and Spices,Cluster: Legumes,Cluster: Mushrooms and Fungi,Cluster: Nuts and Seeds,Cluster: Oils and Fats,Cluster: Poultry and Game Birds,Cluster: Processed Foods and Snacks,Cluster: Seafood - Fish,Cluster: Seafood - Shellfish and Mollusks,Cluster: Sweet Fruits,Cluster: Umami-Rich Meats
Additive,4.0,0.0,36.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,16.0,0.0,20.0,0.0,8.0,4.0,0.0
Bakery,0.0,3.571428571428571,0.0,0.0,0.0,67.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0,28.57142857142857,0.0,0.0,0.0,0.0
Berry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Beverage,50.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,8.333333333333332,0.0,0.0,16.666666666666664,0.0,0.0,8.333333333333332,0.0
Beverage Alcoholic,93.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0
Beverage Caffeinated,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabbage,0.0,87.5,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
Cereal,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dairy,0.0,0.0,0.0,93.75,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0
Dish,0.0,3.9473684210526314,3.9473684210526314,6.578947368421052,1.3157894736842104,34.21052631578947,2.631578947368421,0.0,0.0,0.0,0.0,0.0,35.526315789473685,3.9473684210526314,0.0,3.9473684210526314,3.9473684210526314
Essential Oil,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0
Fish,0.0,0.0,0.0,0.0,0.0,6.60377358490566,0.0,0.9433962264150944,0.0,0.9433962264150944,0.0,0.0,0.0,89.62264150943396,0.9433962264150944,0.9433962264150944,0.0
Flower,0.0,60.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Fruit,0.0,1.7857142857142856,0.0,0.0,0.0,3.571428571428571,1.7857142857142856,5.357142857142857,0.0,5.357142857142857,0.0,0.0,0.0,0.0,0.0,80.35714285714286,1.7857142857142856
Fruit Citrus,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333333333334,0.0
Fungus,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,77.77777777777779,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0
Gourd,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herb,2.4390243902439024,31.70731707317073,0.0,0.0,0.0,14.634146341463413,41.46341463414634,2.4390243902439024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.317073170731707,0.0
Legume,0.0,0.0,0.0,0.0,0.0,5.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maize,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meat,0.0,0.0,0.0,3.7037037037037033,0.0,3.7037037037037033,0.0,3.7037037037037033,0.0,0.0,0.0,14.814814814814813,0.0,3.7037037037037033,3.7037037037037033,0.0,66.66666666666666
Nut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.526315789473683,0.0,89.47368421052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,2.7027027027027026,48.64864864864865,0.0,0.0,0.0,18.91891891891892,0.0,5.405405405405405,0.0,2.7027027027027026,5.405405405405405,0.0,0.0,2.7027027027027026,0.0,8.108108108108109,5.405405405405405
Plant Derivative,0.0,0.0,18.181818181818183,9.090909090909092,0.0,27.27272727272727,0.0,0.0,0.0,9.090909090909092,9.090909090909092,0.0,27.27272727272727,0.0,0.0,0.0,0.0
Seafood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4074074074074066,88.88888888888889,0.0,3.7037037037037033
Seed,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spice,0.0,20.0,0.0,0.0,0.0,0.0,73.33333333333333,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetable,0.0,76.19047619047619,0.0,0.0,0.0,9.523809523809524,9.523809523809524,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetable Root,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetable Tuber,0.0,90.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
