cluster1,1,10,2,3,4,5,6,7,8,9
Additive,0.0,0.0,4.0,0.0,0.0,0.0,88.0,8.0,0.0,0.0
Bakery,0.0,0.0,35.714285714285715,0.0,0.0,3.571428571428571,57.14285714285714,3.571428571428571,0.0,0.0
Berry,0.0,0.0,2.941176470588235,0.0,0.0,97.05882352941177,0.0,0.0,0.0,0.0
Beverage,0.0,0.0,16.666666666666664,0.0,0.0,8.333333333333332,75.0,0.0,0.0,0.0
Beverage Alcoholic,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Beverage Caffeinated,0.0,0.0,33.33333333333333,33.33333333333333,0.0,0.0,33.33333333333333,0.0,0.0,0.0
Cabbage,0.0,0.0,0.0,0.0,0.0,93.75,6.25,0.0,0.0,0.0
Cereal,0.0,0.0,14.285714285714285,0.0,0.0,76.19047619047619,4.761904761904762,0.0,4.761904761904762,0.0
Dairy,0.0,6.25,0.0,0.0,0.0,0.0,93.75,0.0,0.0,0.0
Dish,0.0,0.0,3.9473684210526314,0.0,0.0,0.0,96.05263157894737,0.0,0.0,0.0
Essential Oil,0.0,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0
Fish,0.0,0.0,0.0,0.0,0.0,0.0,95.28301886792453,4.716981132075472,0.0,0.0
Flower,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Fruit,0.0,0.0,0.0,0.0,0.0,98.21428571428571,0.0,1.7857142857142856,0.0,0.0
Fruit Citrus,0.0,0.0,0.0,0.0,0.0,83.33333333333334,0.0,16.666666666666664,0.0,0.0
Fungus,0.0,0.0,0.0,0.0,22.22222222222222,66.66666666666666,0.0,11.11111111111111,0.0,0.0
Gourd,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Herb,0.0,0.0,0.0,0.0,0.0,95.1219512195122,2.4390243902439024,2.4390243902439024,0.0,0.0
Legume,0.0,0.0,0.0,0.0,0.0,95.0,5.0,0.0,0.0,0.0
Maize,0.0,0.0,25.0,0.0,0.0,25.0,50.0,0.0,0.0,0.0
Meat,85.18518518518519,0.0,0.0,0.0,0.0,0.0,14.814814814814813,0.0,0.0,0.0
Nut,0.0,0.0,0.0,0.0,0.0,89.47368421052632,0.0,10.526315789473683,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,89.1891891891892,0.0,8.108108108108109,0.0,2.7027027027027026
Plant Derivative,0.0,0.0,9.090909090909092,0.0,0.0,27.27272727272727,63.63636363636363,0.0,0.0,0.0
Seafood,0.0,0.0,0.0,0.0,0.0,0.0,77.77777777777779,22.22222222222222,0.0,0.0
Seed,0.0,0.0,0.0,0.0,0.0,66.66666666666666,0.0,33.33333333333333,0.0,0.0
Spice,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Vegetable,0.0,0.0,4.761904761904762,0.0,0.0,95.23809523809523,0.0,0.0,0.0,0.0
Vegetable Root,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Vegetable Tuber,0.0,0.0,0.0,0.0,0.0,90.0,10.0,0.0,0.0,0.0
