cluster1,Cluster: Beverages (Alcoholic),Cluster: Beverages (Caffeinated/Stimulant),Cluster: Beverages (Non-Alcoholic/Non-Caffeinated),Cluster: Citrus Fruits,Cluster: Dairy & Alternatives (Creamy/Fatty),Cluster: Earthy/Umami Fungi (Mushrooms),Cluster: Fats & Oils,Cluster: Fermented Products (Salty/Umami/Sour),Cluster: Herbs (Aromatic/Green/Floral),Cluster: Legumes (Earthy/Beany/Nutty),Cluster: Nuts & Seeds (Oily/Nutty),Cluster: Processed/Composite Foods & Additives,Cluster: Pungent/Sulfurous Vegetables (Brassicas/Alliums),Cluster: Spices (Warm/Aromatic),Cluster: Spicy/Pungent (Capsaicin/Allyl Isothiocyanate/Piperine),Cluster: Starchy Staples & Grains (Neutral/Earthy),Cluster: Sweet & Fruity (Esters/Sugars),Cluster: Sweeteners & Confectionery,Cluster: Umami/Savory Meats & Poultry,Cluster: Umami/Savory Seafood,Cluster: Vegetables (Mild/Green/Aquatic/Other)
Additive,0.0,0.0,4.0,0.0,4.0,0.0,16.0,4.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,28.000000000000004,0.0,0.0,8.0
Bakery,0.0,3.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.857142857142858,0.0,0.0,0.0,64.28571428571429,0.0,14.285714285714285,0.0,0.0,0.0
Berry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.23529411764706,0.0,5.88235294117647,5.88235294117647,0.0
Beverage,8.333333333333332,16.666666666666664,41.66666666666667,0.0,16.666666666666664,0.0,0.0,0.0,8.333333333333332,0.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beverage Alcoholic,93.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0
Beverage Caffeinated,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabbage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
Cereal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.23809523809523,0.0,0.0,0.0,0.0,0.0
Dairy,0.0,0.0,0.0,0.0,93.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0
Dish,0.0,0.0,0.0,0.0,5.263157894736842,0.0,0.0,1.3157894736842104,2.631578947368421,0.0,0.0,64.47368421052632,0.0,0.0,0.0,13.157894736842104,1.3157894736842104,7.894736842105263,0.0,3.9473684210526314,0.0
Essential Oil,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Fish,0.0,0.0,0.0,0.0,0.0,0.0,0.9259259259259258,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.37037037037037,0.9259259259259258
Flower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,60.0
Fruit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357142857142857,0.0,0.0,1.7857142857142856,0.0,0.0,85.71428571428571,0.0,1.7857142857142856,0.0,5.357142857142857
Fruit Citrus,0.0,0.0,0.0,83.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0
Fungus,0.0,0.0,0.0,0.0,0.0,88.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0
Gourd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Herb,0.0,2.380952380952381,0.0,4.761904761904762,0.0,0.0,0.0,0.0,40.476190476190474,0.0,4.761904761904762,2.380952380952381,2.380952380952381,2.380952380952381,2.380952380952381,9.523809523809524,2.380952380952381,0.0,0.0,0.0,26.190476190476193
Legume,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Maize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Meat,0.0,0.0,0.0,0.0,3.7037037037037033,0.0,0.0,0.0,0.0,0.0,0.0,3.7037037037037033,0.0,0.0,0.0,0.0,0.0,0.0,88.88888888888889,3.7037037037037033,0.0
Nut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.526315789473683,89.47368421052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,2.631578947368421,0.0,0.0,2.631578947368421,0.0,5.263157894736842,0.0,2.631578947368421,5.263157894736842,5.263157894736842,7.894736842105263,0.0,0.0,0.0,7.894736842105263,5.263157894736842,5.263157894736842,5.263157894736842,2.631578947368421,42.10526315789473
Plant Derivative,0.0,27.27272727272727,0.0,0.0,18.181818181818183,0.0,0.0,9.090909090909092,0.0,0.0,18.181818181818183,9.090909090909092,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,9.090909090909092
Seafood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7037037037037033,74.07407407407408,22.22222222222222
Seed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.333333333333334,0.0,6.666666666666667,0.0,0.0,73.33333333333333,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
Vegetable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761904761904762,0.0,0.0,23.809523809523807,0.0,9.523809523809524,4.761904761904762,0.0,0.0,0.0,0.0,57.14285714285714
Vegetable Root,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,33.33333333333333
Vegetable Tuber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,10.0,0.0,0.0,0.0,30.0
