true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Additive,0.0,0.0,0.0,0.0,56.00000000000001,0.0,0.0,0.0,0.0,32.0,0.0,4.0,8.0,0.0,0.0
Animal Product,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bakery,3.571428571428571,0.0,3.571428571428571,0.0,17.857142857142858,0.0,0.0,0.0,0.0,35.714285714285715,0.0,32.142857142857146,3.571428571428571,3.571428571428571,0.0
Berry,0.0,72.72727272727273,0.0,0.0,0.0,0.0,6.0606060606060606,0.0,0.0,0.0,0.0,3.0303030303030303,0.0,18.181818181818183,0.0
Beverage,0.0,8.333333333333332,8.333333333333332,0.0,33.33333333333333,0.0,0.0,0.0,0.0,41.66666666666667,0.0,8.333333333333332,0.0,0.0,0.0
Beverage Alcoholic,13.333333333333334,0.0,0.0,0.0,46.666666666666664,0.0,0.0,0.0,6.666666666666667,33.33333333333333,0.0,0.0,0.0,0.0,0.0
Beverage Caffeinated,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.0,0.0,33.33333333333333
Cabbage,0.0,43.75,0.0,0.0,6.25,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0
Cereal,0.0,4.761904761904762,0.0,4.761904761904762,4.761904761904762,0.0,28.57142857142857,0.0,0.0,0.0,0.0,14.285714285714285,0.0,42.857142857142854,0.0
Dairy,0.0,0.0,0.0,0.0,62.5,0.0,0.0,6.25,0.0,31.25,0.0,0.0,0.0,0.0,0.0
Dish,2.666666666666667,0.0,2.666666666666667,0.0,29.333333333333332,0.0,0.0,0.0,0.0,64.0,0.0,1.3333333333333335,0.0,0.0,0.0
Essential Oil,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fish,5.660377358490567,0.0,0.0,0.0,33.0188679245283,0.0,0.0,0.0,0.0,56.60377358490566,0.0,0.0,4.716981132075472,0.0,0.0
Flower,0.0,40.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
Fruit,0.0,44.44444444444444,0.0,0.0,0.0,0.0,24.074074074074073,0.0,0.0,0.0,0.0,0.0,0.0,31.48148148148148,0.0
Fruit Citrus,0.0,16.666666666666664,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,16.666666666666664,50.0,0.0
Fruit Essence,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fruit-Berry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Fungus,0.0,44.44444444444444,0.0,0.0,0.0,0.0,22.22222222222222,0.0,0.0,0.0,0.0,0.0,11.11111111111111,22.22222222222222,0.0
Gourd,0.0,50.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0
Herb,0.0,58.536585365853654,0.0,0.0,2.4390243902439024,0.0,9.75609756097561,0.0,0.0,0.0,0.0,0.0,2.4390243902439024,26.82926829268293,0.0
Legume,5.0,50.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
Maize,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0
Meat,0.0,0.0,0.0,0.0,7.6923076923076925,57.692307692307686,0.0,0.0,0.0,3.8461538461538463,30.76923076923077,0.0,0.0,0.0,0.0
Nut,0.0,36.84210526315789,0.0,0.0,0.0,0.0,21.052631578947366,0.0,0.0,0.0,0.0,0.0,10.526315789473683,31.57894736842105,0.0
Plant,0.0,62.16216216216216,0.0,2.7027027027027026,0.0,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,8.108108108108109,24.324324324324326,0.0
Plant Derivative,0.0,18.181818181818183,0.0,0.0,54.54545454545454,0.0,0.0,0.0,0.0,9.090909090909092,0.0,9.090909090909092,0.0,9.090909090909092,0.0
Seafood,25.925925925925924,0.0,0.0,0.0,18.51851851851852,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,22.22222222222222,0.0,0.0
Seed,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,0.0
Spice,0.0,26.666666666666668,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,53.333333333333336,0.0
Vegetable,0.0,40.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,5.0,0.0,40.0,0.0
Vegetable Root,0.0,16.666666666666664,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0
Vegetable Stem,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetable Tuber,0.0,50.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,30.0,0.0
